,secid,cname,cname_norm,nn_match,nn_score,nn_gvkey,nn_coname
541,10172,XOMA CORP NEW,xomacorpnew,comsatcorpser1,64,3273.0,COMSAT CORP  -SER 1
542,23846,LIFEPOINT HOSPITALS INC,lifepointhospitals,lifepointhealth,73,120297.0,LIFEPOINT HEALTH INC
543,212,ABIOMED INC,abiomed,abiomed,100,13619.0,ABIOMED INC
544,1207,EPRESENCE INC,epresence,epresence,100,25631.0,EPRESENCE INC
545,10187,XEROX CORP,xerox,aeroflex,62,1056.0,AEROFLEX INC
546,1566,MATERION CORP,materion,materion,100,2448.0,MATERION CORP
547,25587,LIVEPERSON INC,liveperson,liveperson,100,133869.0,LIVEPERSON INC
548,809,APPLE INC,apple,apple,100,1690.0,APPLE INC
549,27937,KIRKLAND S INC,kirklands,kirklands,100,148391.0,KIRKLAND'S INC
550,5000,INGERSOLL RAND PLC,ingersollrand,ingersollrand,100,30098.0,INGERSOLL RAND INC
551,10393,STAGE STORES INC NV,stagestoresincnv,stagestores,81,63874.0,STAGE STORES INC
552,5837,MGI PHARMA INC,mgipharma,mgipharma,100,7504.0,MGI PHARMA INC
553,5790,LOWE S COS INC,lowescos,lowescos,100,6829.0,LOWE'S COS INC
554,2696,CYBERONICS INC,cyberonics,respironics,67,14385.0,RESPIRONICS INC
555,10081,WHOLE FOODS MARKET INC,wholefoodsmarket,wholefoodsmarket,100,24893.0,WHOLE FOODS MARKET INC
556,8993,TJX COS INC,tjxcos,texaco,67,10482.0,TEXACO INC
557,27948,RED ROBIN GOURMET BURGERS INC,redrobingourmetburgers,redrobingourmetburgers,100,148470.0,RED ROBIN GOURMET BURGERS
558,24441,ASK JEEVES INC,askjeeves,askjeeves,100,121834.0,ASK JEEVES INC
559,23442,CONEXANT SYSTEMS INC,conexantsystems,conexantsystems,100,116526.0,CONEXANT SYSTEMS INC
560,1218,BARR PHARMACEUTICALS INC,barrpharmaceuticals,barrpharmaceuticals,100,13365.0,BARR PHARMACEUTICALS INC
561,9888,WMS INDUSTRIES INC,wmsindustries,wmsindustries,100,11509.0,WMS INDUSTRIES INC
562,751,ANALOGIC CORP,analogic,analogic,100,1633.0,ANALOGIC CORP
563,24630,NETSCOUT SYSTEMS INC,netscoutsystems,etecsystems,77,61443.0,ETEC SYSTEMS INC
564,7797,RAINBOW TECHNOLOGIES INC,rainbowtechnologies,rainbowtechnologies,100,13976.0,RAINBOW TECHNOLOGIES INC
565,8717,STANDARD REGISTER CO,standardregistercompany,standardregistercompany,100,10005.0,STANDARD REGISTER CO
566,7530,POWELL INDUSTRIES INC,powellindustries,bellindustries,87,2138.0,BELL INDUSTRIES INC
567,24532,ALLSCRIPTS HEALTHCARE SOLUTIONS INC,allscriptshealthcaresolutions,allscriptshlthcrsoltnsold,81,122255.0,ALLSCRIPTS HLTHCR SOLTNS-OLD
568,8012,ROBBINS & MYERS INC,robbinsmyers,robbinsmyers,100,9173.0,ROBBINS & MYERS INC
569,8286,SCICLONE PHARMACEUTICALS INC,sciclonepharmaceuticals,sciclonepharmaceuticals,100,25047.0,SCICLONE PHARMACEUTICALS LLC
570,6956,OSI PHARMACEUTICALS INC,osipharmaceuticals,osipharmaceuticals,100,12180.0,OSI PHARMACEUTICALS INC
571,7358,PETSMART INC,petsmart,petsmart,100,28648.0,PETSMART INC
572,9079,TEKELEC,tekelec,tekelec,100,12212.0,TEKELEC
573,1892,CARPENTER TECHNOLOGY CORP,carpentertechnology,carpentertechnology,100,2787.0,CARPENTER TECHNOLOGY CORP
574,3607,FEDERAL SIGNAL CORP,federalsignal,federalsignal,100,4608.0,FEDERAL SIGNAL CORP
575,4896,IDEX CORP,idex,idex,100,15267.0,IDEX CORP
576,22589,MARINEMAX INC,marinemax,marinemax,100,111103.0,MARINEMAX INC
577,22559,CARREKER CORP,carreker,carreker,100,110721.0,CARREKER CORP
578,23723,MKS INSTRUMENTS INC,mksinstruments,texasinstruments,80,10499.0,TEXAS INSTRUMENTS INC
579,10072,WHIRLPOOL CORP,whirlpool,whirlpool,100,11465.0,WHIRLPOOL CORP
580,2705,CYMER INC,cymer,cymer,100,63600.0,CYMER INC
581,1549,BROOKS AUTOMATION INC,brooksautomation,rockwellautomation,76,9203.0,ROCKWELL AUTOMATION
582,8148,SPSS INC,spss,spss,100,28758.0,SPSS INC
583,8568,SONOCO PRODUCTS CO,sonocoproductscompany,sonocoproductscompany,100,9815.0,SONOCO PRODUCTS CO
584,2240,CLOROX CO,cloroxcompany,torocompany,83,10618.0,TORO CO
585,25738,INTUITIVE SURGICAL INC,intuitivesurgical,intuitivesurgical,100,136725.0,INTUITIVE SURGICAL INC
586,7401,PSS WORLD MEDICAL INC,pssworldmedical,pssworldmedical,100,30161.0,PSS WORLD MEDICAL INC
587,17422,REYNOLDS AMERICAN INC,reynoldsamerican,reynoldsamerican,100,120877.0,REYNOLDS AMERICAN INC
588,10289,TENNECO INC DE,tennecoincde,tenneco,74,10443.0,TENNECO INC
589,3589,FASTENAL CO,fastenalcompany,fastenalcompany,100,14225.0,FASTENAL CO
590,803,APOGEE ENTERPRISES INC,apogeeenterprises,apogeeenterprises,100,1686.0,APOGEE ENTERPRISES INC
591,5810,LYDALL INC,lydall,lydall,100,6845.0,LYDALL INC
592,9797,VICOR CORP,vicor,vicor,100,21238.0,VICOR CORP
593,1719,CABOT CORP,cabot,cabot,100,2593.0,CABOT CORP
594,8040,ROHM & HAAS CO,rohmhaascompany,rohmhaascompany,100,9217.0,ROHM AND HAAS CO
595,2847,TARGET CORP,target,target,100,3813.0,TARGET CORP
596,24387,UNITED THERAPEUTICS CORP,unitedtherapeutics,unitedtherapeutics,100,121440.0,UNITED THERAPEUTICS CORP
597,1014,AUTODESK INC,autodesk,autodesk,100,1878.0,AUTODESK INC
598,23810,CONSOL ENERGY INC,consolenergy,nobleenergy,78,7912.0,NOBLE ENERGY INC
599,3398,ENZO BIOCHEM INC,enzobiochem,enzobiochem,100,4418.0,ENZO BIOCHEM INC
600,2445,CONAGRA FOODS INC,conagrafoods,conagrabrands,72,3362.0,CONAGRA BRANDS INC
601,4581,MANOR CARE INC NEW,manorcareincnew,manorcareincold,80,6998.0,MANOR CARE INC-OLD
602,23828,NAUTILUS GROUP INC,nautilusgroup,nautilus,76,27760.0,NAUTILUS INC
603,7787,RADISYS CORP,radisys,radisys,100,61439.0,RADISYS CORP
604,10246,ZOLL MEDICAL CORP,zollmedical,zollmedical,100,25579.0,ZOLL MEDICAL CORP
605,23122,EBAY INC,ebay,ebay,100,114524.0,EBAY INC
606,3077,FLOWSERVE CORP,flowserve,flowserve,100,4108.0,FLOWSERVE CORP
607,8275,SCHLUMBERGER LTD,schlumberger,schlumberger,100,9465.0,SCHLUMBERGER LTD
608,4471,HALLIBURTON CO,halliburtoncompany,halliburtoncompany,100,5439.0,HALLIBURTON CO
609,9393,TRIMBLE NAVIGATION LTD,trimblenavigation,trimble,58,22815.0,TRIMBLE INC
610,8516,SMITH MICRO SOFTWARE INC,smithmicrosoftware,smithmicrosoftware,100,61321.0,SMITH MICRO SOFTWARE INC
